lr_spsa,eps,score_steady_avg,final_val
1e-05,0.02,9.24,9.3
1e-05,0.025,9.2,9.2
1e-05,0.03,9.2,9.2
1e-05,0.035,9.2,9.2
1e-05,0.04,9.2,9.2
5e-05,0.02,16.56,17.5
5e-05,0.025,29.76,32.1
5e-05,0.03,15.86,13.2
5e-05,0.035,47.8,47.0
5e-05,0.04,40.94,40.6
0.0001,0.02,25.580000000000002,45.0
0.0001,0.025,27.18,29.7
0.0001,0.03,27.420000000000005,32.7
0.0001,0.035,12.64,14.3
0.0001,0.04,32.88,26.6
0.00015,0.02,39.2,58.2
0.00015,0.025,44.3,58.4
0.00015,0.03,64.66,42.3
0.00015,0.035,76.93999999999998,99.1
0.00015,0.04,81.7,59.5
0.0002,0.02,15.16,15.2
0.0002,0.025,24.740000000000002,36.4
0.0002,0.03,52.54,37.2
0.0002,0.035,47.3,60.7
0.0002,0.04,69.3,53.8
