lr_bp,entropy_coef,score_steady_avg,final_val
0.005,0.0001,-398.30378064087324,-416.67732433555665
0.005,0.0002,-300.72343469147364,-193.26362130495994
0.005,0.0003,-266.5805316400276,-262.23737237652557
0.005,0.0004,-216.6508206472473,-201.18030364027553
0.005,0.0005,-212.48552831796806,-209.57122943751165
0.01,0.0001,-161.0714042171239,-175.79199326357084
0.01,0.0002,-227.04810515643575,-274.47057168297425
0.01,0.0003,-183.14035108051283,-370.1890083238569
0.01,0.0004,-216.70481505125477,-305.1020727665113
0.01,0.0005,-178.31875965716972,-167.1232040424643
0.015,0.0001,-202.35642839088982,-136.6568304743113
0.015,0.0002,-324.18229229887953,-453.6793584835303
0.015,0.0003,-223.2687114578227,-120.40819259838293
0.015,0.0004,-239.12397486162553,-243.04609218004128
0.015,0.0005,-249.1998393981315,-116.24632066122926
0.02,0.0001,-192.53964461130664,-266.3919376864934
0.02,0.0002,-239.13962084542172,-265.5874172962212
0.02,0.0003,-174.9955960473946,-146.80638359875036
0.02,0.0004,-241.29454467948852,-397.74865737661196
0.02,0.0005,-169.66714928960315,-104.19347968608022
0.025,0.0001,-263.9662101919875,-422.49011791516597
0.025,0.0002,-182.80559262711057,-273.90944065642793
0.025,0.0003,-194.55422348632197,-168.8937995677543
0.025,0.0004,-224.25595166286513,-282.5960681662317
0.025,0.0005,-276.40510974591456,-260.24889303141975
