lr_bp,entropy_coef,score_steady_avg,final_val
0.001,0.0001,19.04,17.2
0.001,0.0005,9.76,11.0
0.001,0.001,10.5,14.0
0.005,0.0001,20.98,11.4
0.005,0.0005,10.040000000000001,10.1
0.005,0.001,16.339999999999996,15.6
0.01,0.0001,13.1,18.5
0.01,0.0005,25.24,33.6
0.01,0.001,18.32,32.4
0.015,0.0001,21.139999999999997,9.5
0.015,0.0005,23.3,26.1
0.015,0.001,14.180000000000001,20.7
0.02,0.0001,23.1,25.6
0.02,0.0005,12.52,9.9
0.02,0.001,18.080000000000002,24.0
