lr_spsa,eps,score_steady_avg,final_val
0.0001,0.035,18.880000000000003,22.1
0.0001,0.0037,9.2,9.2
0.0001,0.04,32.88,26.6
0.0001,0.043,9.5,9.5
0.0001,0.045,33.96,23.3
0.00012,0.035,23.119999999999997,28.5
0.00012,0.0037,9.2,9.2
0.00012,0.04,35.480000000000004,24.5
0.00012,0.043,36.78,51.1
0.00012,0.045,51.8,48.3
0.00013,0.035,108.64000000000001,195.9
0.00013,0.0037,9.5,9.5
0.00013,0.04,39.04,42.8
0.00013,0.043,63.739999999999995,73.5
0.00013,0.045,57.96,45.3
0.00014,0.035,46.92,28.0
0.00014,0.0037,9.2,9.2
0.00014,0.04,67.74,58.5
0.00014,0.043,52.32000000000001,68.6
0.00014,0.045,54.56,38.5
0.00015,0.035,76.93999999999998,99.1
0.00015,0.0037,9.2,9.2
0.00015,0.04,81.7,59.5
0.00015,0.043,30.580000000000002,34.4
0.00015,0.045,60.5,39.3
0.00016,0.035,51.260000000000005,33.8
0.00016,0.0037,9.139999999999999,8.9
0.00016,0.04,91.52,124.7
0.00016,0.043,44.46,54.0
0.00016,0.045,92.75999999999999,126.1
0.00017,0.035,50.54,47.1
0.00017,0.0037,9.2,9.2
0.00017,0.04,74.26,48.6
0.00017,0.043,75.96000000000001,124.8
0.00017,0.045,40.74,43.4
0.00018,0.035,46.66,42.6
0.00018,0.0037,9.2,9.2
0.00018,0.04,71.9,60.2
0.00018,0.043,47.760000000000005,52.6
0.00018,0.045,39.42,35.3
0.00019,0.035,117.08,39.5
0.00019,0.0037,9.2,9.2
0.00019,0.04,102.23999999999998,75.5
0.00019,0.043,225.2,388.0
0.00019,0.045,99.03999999999999,46.9
0.0002,0.035,47.3,60.7
0.0002,0.0037,9.2,9.2
0.0002,0.04,69.3,53.8
0.0002,0.043,95.11999999999999,52.3
0.0002,0.045,53.54,35.4
