lr_spsa,eps,score_steady_avg,final_val
0.0001,0.05,-116.27806242870672,-116.27806242870672
0.0001,0.06,-116.27806242870672,-116.27806242870672
0.0001,0.07,-92.39588632794236,-84.56058057632606
0.0001,0.08,-116.27806242870672,-116.27806242870672
0.0001,0.09,-116.27806242870672,-116.27806242870672
0.00015,0.05,-108.66912725525253,-106.69142440300047
0.00015,0.06,-43.63500699522218,-62.454441177426496
0.00015,0.07,-116.27806242870672,-116.27806242870672
0.00015,0.08,-115.24200454364795,-114.25269126194254
0.00015,0.09,-116.27806242870672,-116.27806242870672
0.0002,0.05,-116.27806242870672,-116.27806242870672
0.0002,0.06,-117.77273472282388,-116.22658575614957
0.0002,0.07,-116.27806242870672,-116.27806242870672
0.0002,0.08,-116.27806242870672,-116.27806242870672
0.0002,0.09,-116.27806242870672,-116.27806242870672
0.00025,0.05,-116.27806242870672,-116.27806242870672
0.00025,0.06,-51.202314007842325,-140.89329216093054
0.00025,0.07,-104.47789815565834,-116.27806242870672
0.00025,0.08,-104.47340682419868,-116.27806242870672
0.00025,0.09,-116.27806242870672,-116.27806242870672
0.0003,0.05,-116.27806242870672,-116.27806242870672
0.0003,0.06,-116.24638719698855,-116.27806242870672
0.0003,0.07,-116.27806242870672,-116.27806242870672
0.0003,0.08,-116.27806242870672,-116.27806242870672
0.0003,0.09,-116.27806242870672,-116.27806242870672
