lr_spsa,eps,score_steady_avg,final_val
0.00018,0.04,53.88000000000001,53.2
0.00018,0.041,33.52,40.8
0.00018,0.042,53.96,43.1
0.00018,0.043,47.760000000000005,52.6
0.00018,0.044,68.3,61.3
0.00018,0.045,39.42,35.3
0.000185,0.04,46.08,25.7
0.000185,0.041,92.12,58.6
0.000185,0.042,61.32000000000001,90.9
0.000185,0.043,47.84,39.9
0.000185,0.044,126.84,147.8
0.000185,0.045,50.339999999999996,58.1
0.00019,0.04,102.23999999999998,75.5
0.00019,0.041,43.84,29.6
0.00019,0.042,49.739999999999995,37.0
0.00019,0.043,225.2,388.0
0.00019,0.044,48.64,52.1
0.00019,0.045,99.03999999999999,46.9
0.000195,0.04,160.20000000000002,113.2
0.000195,0.041,90.8,65.8
0.000195,0.042,55.120000000000005,54.2
0.000195,0.043,52.879999999999995,37.5
0.000195,0.044,45.040000000000006,52.1
0.000195,0.045,50.67999999999999,49.9
0.0002,0.04,69.3,53.8
0.0002,0.041,47.32,63.1
0.0002,0.042,68.03999999999999,64.9
0.0002,0.043,95.11999999999999,52.3
0.0002,0.044,63.02,58.6
0.0002,0.045,53.54,35.4
