lr_bp,entropy_coef,score_steady_avg,final_val
0.008,0.0003,16.04,14.0
0.008,0.0004,14.74,14.0
0.008,0.0005,15.919999999999998,16.6
0.008,0.0006,14.040000000000001,11.9
0.008,0.0007,11.799999999999999,11.9
0.008,0.0008,11.440000000000001,11.6
0.009,0.0003,30.879999999999995,33.0
0.009,0.0004,11.3,17.8
0.009,0.0005,13.76,23.8
0.009,0.0006,17.619999999999997,31.5
0.009,0.0007,20.76,30.5
0.009,0.0008,23.48,33.0
0.01,0.0003,24.979999999999997,12.7
0.01,0.0004,17.080000000000002,15.2
0.01,0.0005,25.24,33.6
0.01,0.0006,23.4,31.6
0.01,0.0007,31.96,27.8
0.01,0.0008,23.34,19.0
0.012,0.0003,31.5,23.2
0.012,0.0004,20.64,11.7
0.012,0.0005,15.559999999999999,10.2
0.012,0.0006,14.540000000000001,13.4
0.012,0.0007,12.88,10.6
0.012,0.0008,15.979999999999999,11.1
0.013,0.0003,12.079999999999998,11.2
0.013,0.0004,13.66,23.9
0.013,0.0005,12.44,18.5
0.013,0.0006,12.34,20.4
0.013,0.0007,13.059999999999999,24.8
0.013,0.0008,12.58,20.4
