lr_bp,entropy_coef,score_steady_avg,final_val
0.0001,0.0,9.2,9.2
0.0001,0.0001,24.18,24.4
0.0001,0.0005,24.98,25.5
0.0001,0.001,25.0,25.1
0.0003,0.0,9.2,9.2
0.0003,0.0001,20.5,19.0
0.0003,0.0005,16.76,20.5
0.0003,0.001,16.72,17.9
0.001,0.0,9.2,9.2
0.001,0.0001,19.04,17.2
0.001,0.0005,9.76,11.0
0.001,0.001,10.5,14.0
0.003,0.0,9.2,9.2
0.003,0.0001,11.379999999999999,18.5
0.003,0.0005,9.679999999999998,9.2
0.003,0.001,9.66,9.5
0.01,0.0,9.2,9.2
0.01,0.0001,13.1,18.5
0.01,0.0005,25.24,33.6
0.01,0.001,18.32,32.4
